Experiment,Measurement,Replication,Module,Name,Value
General,,#84,fcnetwork.node3,#status,6
General,,#84,fcnetwork.node2,#status,6
General,,#84,fcnetwork.node1,#status,6
General,,#85,fcnetwork.node1,#status,6
General,,#85,fcnetwork.node2,#status,6
General,,#85,fcnetwork.node3,#status,6
General,,#85,fcnetwork.node4,#status,6
General,,#86,fcnetwork.node3,#status,6
General,,#86,fcnetwork.node1,#status,6
General,,#86,fcnetwork.node2,#status,6
General,,#86,fcnetwork.node4,#status,6
General,,#87,fcnetwork.node1,#status,6
General,,#87,fcnetwork.node2,#status,6
General,,#87,fcnetwork.node3,#status,6
General,,#87,fcnetwork.node4,#status,6
General,,#88,fcnetwork.node1,#status,6
General,,#88,fcnetwork.node2,#status,6
General,,#88,fcnetwork.node3,#status,6
General,,#88,fcnetwork.node4,#status,6
General,,#89,fcnetwork.node4,#status,6
General,,#89,fcnetwork.node3,#status,6
General,,#89,fcnetwork.node2,#status,6
General,,#89,fcnetwork.node1,#status,6
General,,#90,fcnetwork.node2,#status,6
General,,#90,fcnetwork.node3,#status,6
General,,#90,fcnetwork.node4,#status,6
General,,#90,fcnetwork.node1,#status,6
General,,#91,fcnetwork.node1,#status,6
General,,#91,fcnetwork.node2,#status,6
General,,#91,fcnetwork.node3,#status,6
General,,#91,fcnetwork.node4,#status,6
General,,#92,fcnetwork.node1,#status,6
General,,#92,fcnetwork.node2,#status,6
General,,#92,fcnetwork.node3,#status,6
General,,#92,fcnetwork.node4,#status,6
General,,#93,fcnetwork.node3,#status,6
General,,#93,fcnetwork.node4,#status,6
General,,#93,fcnetwork.node2,#status,6
General,,#93,fcnetwork.node1,#status,6
General,,#94,fcnetwork.node1,#status,6
General,,#94,fcnetwork.node4,#status,7
General,,#94,fcnetwork.node3,#status,6
General,,#94,fcnetwork.node2,#status,6
General,,#95,fcnetwork.node4,#status,6
General,,#95,fcnetwork.node1,#status,6
General,,#95,fcnetwork.node2,#status,6
General,,#95,fcnetwork.node3,#status,6
General,,#96,fcnetwork.node1,#status,6
General,,#96,fcnetwork.node2,#status,10
General,,#96,fcnetwork.node3,#status,6
General,,#96,fcnetwork.node4,#status,6
General,,#97,fcnetwork.node4,#status,6
General,,#97,fcnetwork.node3,#status,6
General,,#97,fcnetwork.node2,#status,6
General,,#97,fcnetwork.node1,#status,6
General,,#98,fcnetwork.node4,#status,6
General,,#98,fcnetwork.node3,#status,7
General,,#98,fcnetwork.node2,#status,6
General,,#98,fcnetwork.node1,#status,6
General,,#99,fcnetwork.node4,#status,6
General,,#99,fcnetwork.node3,#status,6
General,,#99,fcnetwork.node2,#status,6
General,,#99,fcnetwork.node1,#status,6
